Variable,Type,Description,Values,Missing
subject_id,string,Unique subject identifier,Matches IDs in processed/rcts/*/test.jsonl,none expected
treatment,string,Treatment arm assignment,Per RCT -- defined in config.yaml,none expected
outcome,string,Human ground-truth response,Per RCT,none expected
prediction,string,Model-predicted response,Per RCT,none expected
logit_yes,float,Raw logit for the Yes token,Unbounded,NA for API models
logit_no,float,Raw logit for the No token,Unbounded,NA for API models
prob_yes,float,Renormalised probability: p(yes) / (p(yes) + p(no)),0.0--1.0,none expected
date,date,Date inference was run,YYYY-MM-DD,none expected
rct_id,string,RCT identifier for this inference run,Matches keys in config.yaml rcts: block,none expected
model_family,string,Model family,"llama, qwen, gpt5",none expected
model_version,string,Official release version,"e.g. 3.1, 3, 5",none expected
model_size,string,Parameter count,"e.g. 8B, 70B",NA for API models
model_id,string,Full model identifier,HuggingFace ID or API model string,none expected
fine_tuned,boolean,Whether LoRA fine-tuning was applied,"TRUE, FALSE",none expected
ft_base_model,string,Base pretrain model the fine-tune started from,HuggingFace/Together AI model ID,NA if fine_tuned=FALSE
ft_corpus,string,Training corpus used for fine-tuning,"e.g. alpaca, duch_2023_train",NA if fine_tuned=FALSE
lora_r,integer,LoRA rank,e.g. 32,NA if fine_tuned=FALSE
lora_alpha,integer,LoRA alpha,e.g. 64,NA if fine_tuned=FALSE
lora_dropout,float,LoRA dropout rate,e.g. 0.05,NA if fine_tuned=FALSE
lora_target_modules,string,LoRA target modules,Comma-separated list,NA if fine_tuned=FALSE
train_epochs,integer,Number of training epochs,e.g. 6,NA if fine_tuned=FALSE
train_batch_size,integer,Per-device batch size,"e.g. 48, 8",NA if fine_tuned=FALSE
train_grad_accum_steps,integer,Gradient accumulation steps,"e.g. 1, 6",NA if fine_tuned=FALSE
train_effective_batch_size,integer,Effective batch size (batch_size x grad_accum_steps),e.g. 48,NA if fine_tuned=FALSE
train_lr,float,Learning rate,e.g. 2e-4,NA if fine_tuned=FALSE
train_lr_scheduler,string,Learning rate scheduler,e.g. cosine,NA if fine_tuned=FALSE
train_warmup_ratio,float,Warmup ratio,e.g. 0.03,NA if fine_tuned=FALSE
train_max_grad_norm,float,Max gradient norm for clipping,e.g. 1.0,NA if fine_tuned=FALSE
train_weight_decay,float,Weight decay,e.g. 0.01,NA if fine_tuned=FALSE
train_optimizer,string,Optimizer,e.g. adamw_torch,NA if fine_tuned=FALSE
train_precision,string,Training precision,e.g. bf16,NA if fine_tuned=FALSE
train_max_seq_length,integer,Max sequence length during training,e.g. 2048,NA if fine_tuned=FALSE
train_seed,integer,Random seed used for this training run,e.g. 42,NA if fine_tuned=FALSE
infer_precision,string,Inference precision,e.g. bf16,NA for API models
infer_batch_size,integer,Inference batch size,e.g. 32,NA for API models
infer_max_seq_length,integer,Max sequence length during inference,e.g. 2048,NA for API models
infer_temperature,float,Sampling temperature used at inference,e.g. 1.0,none expected
infer_max_tokens,integer,Max tokens generated per query,e.g. 1,none expected
